Név: Horváth Anna | Részleg: Ügyfélszolgálat | Beosztás: HR generalista
Név: Somogyi Zsanett | Részleg: Ügyfélszolgálat | Beosztás: Rendszergazda
Név: Gulyás László | Részleg: Pénzügy | Beosztás: Rendszergazda
Név: Gál Tamás | Részleg: Pénzügy | Beosztás: HR generalista
Név: Simon István | Részleg: Informatika | Beosztás: Könyvelő
Név: Nagy Béla | Részleg: Pénzügy | Beosztás: Könyvelő
Név: Tóth Erzsébet | Részleg: HR | Beosztás: Ügyfélszolgálatos
Név: Varga Éva | Részleg: Ügyfélszolgálat | Beosztás: Ügyfélszolgálatos
Név: Horváth Margit | Részleg: Marketing | Beosztás: Könyvelő
Név: Kiss Julianna | Részleg: Marketing | Beosztás: Rendszergazda
Név: Simon Diána | Részleg: Informatika | Beosztás: Szoftverfejlesztő
Név: Tóth József | Részleg: Pénzügy | Beosztás: Könyvelő
Név: Szabó Levente | Részleg: Marketing | Beosztás: Marketinges
Név: Jakab Gizella | Részleg: Marketing | Beosztás: Szoftverfejlesztő
Név: Bálint Eszter | Részleg: Marketing | Beosztás: HR generalista
Név: Varga László | Részleg: Marketing | Beosztás: Ügyfélszolgálatos
Név: Takács Bianka | Részleg: Pénzügy | Beosztás: Marketinges
Név: Szabó Ferenc | Részleg: Informatika | Beosztás: Könyvelő
Név: Varga Péter | Részleg: Informatika | Beosztás: HR generalista
Név: Novák Csaba | Részleg: HR | Beosztás: HR generalista
Név: Nagy Eszter | Részleg: Ügyfélszolgálat | Beosztás: Ügyfélszolgálatos
Név: Máté Katalin | Részleg: Ügyfélszolgálat | Beosztás: Ügyfélszolgálatos
Név: Molnár Dávid | Részleg: Pénzügy | Beosztás: Ügyfélszolgálatos
